Date,City,Venue
2023-10-23,"Austin,TX,USA",Empire Garage
2023-10-24,"Dallas,TX,USA",The Granada
2023-10-25,"Houston,TX,USA",House of Blues
2023-10-27,"Orlando,FL,USA",House of Blues
2023-10-28,"Fort Lauderdale Florida,FL,USA",Culture Room
2023-10-30,"Atlanta,GA,USA",Masquerade Heaven
2023-10-31,"Charlotte,NC,USA",The Underground
2023-11-01,"Baltimore,MD,USA",Baltimore Soundstage
2023-11-03,"New York,NY,USA",Palladium Time Square
2023-11-04,"Worcester,MA,USA",The Palladium
2023-11-05,"Montreal,QC,Canada",MTelus
2023-11-06,"Toronto,ON,Canada",Danforth Music Hall
2023-11-08,"Cleveland,OH,USA",Agora Theater
2023-11-09,"Detroit,MI,USA",The Majestic
2023-11-10,"Chicago,IL,USA",House of Blues
2023-11-11,"Minneapolis,MN,USA",First Avenue
2023-11-12,"Lawrence,KS,USA",Granada Theater
2023-11-14,"Denver,CO,USA",Summit Music Hall
2023-11-15,"Salt Lake City,UT,USA",The Depot
2023-11-16,"Boise,ID,USA",Knitting Factory
2023-11-18,"Berkeley California,CA,USA",UC Theater
2023-11-19,"Los Angeles,CA,USA",The Wiltern
