,Date,Venue,City,Distance to next city,Duration to next city
0,2023-03-30,PARTENZA,"Roma, Italy",1155,11h : 03 min
1,2023-03-31,Geiselwind Festival,"Geiselwind, Germany",468,4h : 06 min
2,2023-04-01,Musigburg ,"Aarburg,  Switzerland",366,3h : 53 min
3,2023-04-02,Backstage ,"Munich,  Germany",402,4h : 11 min
4,2023-04-03,Viper Room ,"Vienna,  Austria",251,2h : 48 min
5,2023-04-04,Analog Music Hall ,"Budapest,  Hungary",656,6h : 29 min
6,2023-04-05,Zaścianek ,"Krakow,  Poland",296,3h : 51 min
7,2023-04-06,Hydrozagadka ,"Warsaw,  Poland",580,5h : 31 min
8,2023-04-07,DAY OFF,"Berlin,  Germany",283,2h : 42 min
9,2023-04-08,Cafe Glocksee ,"Hannover,  Germany",151,1h : 43 min
10,2023-04-09,Logo ,"Hamburg,  Germany",331,4h : 22 min
11,2023-04-10,Stengade ,"Copenhagen,  Denmark",445,5h : 17 min
12,2023-04-11,DAY OFF,"Bremen,  Germany",388,3h : 57 min
13,2023-04-12,Baroeg ,"Rotterdam,  Netherlands",454,4h : 17 min
14,2023-04-13,Nachtleben ,"Frankfurt,  Germany",250,2h : 22 min
15,2023-04-14,Turock ,"Essen,  Germany",239,2h : 42 min
16,2023-04-15,Mergener Hof ,"Trier,  Germany",253,2h : 49 min
17,2023-04-16,DEN DREEF ,"Vorselaar,  Belgium",82,1h : 08 min
18,2023-04-17,DAY OFF,"Bruxelles,  Belgium",0,0h : 0 min
19,2023-04-18,DAY OFF,"Bruxelles,  Belgium",371,4h : 43 min
20,2023-04-19,DAY OFF,"London,  England, United Kingdom",300,3h : 44 min
21,2023-04-20,The Welly Club ,"Hull,  England, United Kingdom",274,3h : 00 min
22,2023-04-21,The venue ,"Carlisle,  England, United Kingdom",81,0h : 56 min
23,2023-04-22,Cathouse Nightclub ,"Glasgow,  England, United Kingdom",179,1h : 57 min
24,2023-04-23,O2 Academy Sheffield ,"Sheffield,  England, United Kingdom",215,2h : 24 min
25,2023-04-24,Think Tank? ,"Newcastle Upon Tyne,  England, United Kingdom",280,3h : 05 min
26,2023-04-25,O2 Academy Liverpool ,"Liverpool,  England, United Kingdom",160,1h : 49 min
27,2023-04-26,Unknown venue ,"Birmingham,  England, United Kingdom",190,2h : 20 min
28,2023-04-27,O2 Academy2 Islington ,"London,  England, United Kingdom",189,2h : 15 min
29,2023-04-29,Thekla ,"Bristol,  England, United Kingdom",256,2h : 54 min
30,2023-04-30,Patterns ,"Brighton,  England, United Kingdom",551,5h : 57 min
31,2023-05-01,DAY OFF ,"Caen,  France",293,3h : 06 min
32,2023-05-02,Le Ferrailieur ,"Nantes,  France",383,4h : 00 min
33,2023-05-03,Petit Bain ,"Paris,  France",675,6h : 33 min
34,2023-05-04,Connexion Live ,"Toulouse,  France",395,3h : 58 min
35,2023-05-05,Sala Bóveda ,"Barcelona,  Spain",623,6h : 17 min
36,2023-05-06,Revi Live ,"Madrid,  Spain",624,6h : 05 min
37,2023-05-07,RCA Club ,"Lisbon,  Portugal",889,9h : 07 min
38,2023-05-08,Garaje Beat Club ,"Murcia,  Spain",217,2h : 18 min
39,2023-05-09,Peter Rock ,"Valencia,  Spain",624,6h : 17 min
40,2023-05-10,Sala Groove ,"Portugalete,  Spain",893,8h : 42 min
41,2023-05-11,Rock N’eat ,"Lyon,  France",440,4h : 55 min
42,2023-05-12,DAY OFF,"Milan,  Italy",35,0h : 46 min
43,2023-05-13,Adunata,"Trezzo sull'Adda, Italy",595,5h : 43 min
44,2023-05-13,RIENTRO,"Roma, Italy",0,0
